year,country_code,gdp_usd,gdp_per_capita,fdi_pct_gdp,inflation_rate,unemployment_rate,real_economic_growth_indicator
2000,PRI,61701800000.0,16192.1269719638,,,10.0799999237061,
2001,PRI,69208400000.0,18123.1987019918,,,11.3999996185303,
2002,PRI,71623500000.0,18731.4593897378,,,11.9399995803833,
2003,PRI,74827400000.0,19557.1202492358,,,11.7799997329712,
2004,PRI,80322313000.0,20988.9923326534,,,10.3100004196167,
2005,PRI,83914521300.0,21959.322696986,,,11.3500003814697,
2006,PRI,87276164400.0,22935.9411586313,,,11.0100002288818,
2007,PRI,89524131600.0,23664.8823485096,,,10.9300003051758,
2008,PRI,93639300000.0,24898.3345857045,,,11.4799995422363,
2009,PRI,96385600000.0,25768.7258883384,,,15.0,
2010,PRI,98381300000.0,26435.74878578,,,16.1000003814697,
2011,PRI,100351700000.0,27278.8830499205,,,15.6999998092651,
2012,PRI,101564800000.0,27944.7338937424,,,14.5,
2013,PRI,102450000000.0,28513.1657351067,,,14.3000001907349,
2014,PRI,102445800000.0,28981.4573305866,,,13.8999996185303,
2015,PRI,103375500000.0,29763.4883013861,,,12.0,
2016,PRI,104336700000.0,30627.1634017011,,,11.8000001907349,
2017,PRI,103445526000.0,31108.7605697675,,,10.8000001907349,
2018,PRI,100925000000.0,31604.7015144578,,,9.19999980926514,
2019,PRI,104914600000.0,32850.5486123592,,,8.30000019073486,
2020,PRI,103138300000.0,32290.9211360931,,,8.89000034332275,
2000,PRY,8855705139.55857,1663.60493919986,1.21729436901028,8.98215976750022,7.6100001335144,185.2121296282453
2001,PRY,8495806432.18467,1565.0542885389,1.16763488895181,7.26806028584821,6.21000003814697,215.3331462572276
2002,PRY,7196260656.84556,1300.85236671095,1.25620797120523,10.5102420856612,9.39000034332275,123.76997181498444
2003,PRY,7691367471.17992,1365.41641811806,-0.750191694990596,14.2367970499143,6.80999994277954,95.90755654736816
2004,PRY,9624440836.29309,1679.49511989641,0.976461922292792,4.32326492967491,6.51000022888184,388.4784178661705
2005,PRY,10737500188.1123,1843.634107636,0.067986029076693,6.80738203116371,4.82000017166138,270.8286532467216
2006,PRY,13429430050.261,2271.08888540796,1.39842122336644,9.5893494112923,5.28000020980835,236.83451170666004
2007,PRY,17856270473.153,2976.82401447595,0.588028727263447,8.13047417698579,4.71000003814697,366.1316609186438
2008,PRY,24616537618.2325,4047.90979064865,1.37247571222105,10.1547846489023,4.42000007629395,398.62093885823725
2009,PRY,22355601273.3545,3626.81863691006,0.12038593670964,2.5919467343056,5.46000003814697,1399.2643401607977
2010,PRY,27237782849.6908,4359.42841539817,2.03960800725125,4.6511627906977,4.57000017166138,937.2771093106014
2011,PRY,33756238766.5,5329.38743682686,1.37454294955536,8.25396825396825,4.67000007629395,645.6757856155622
2012,PRY,33296438306.4747,5185.14154871279,2.18384919524141,3.6759189797449,4.09000015258789,1410.5701396804525
2013,PRY,38651334287.6732,5936.97595902248,0.808683595949455,2.68385738718593,4.38000011444092,2212.105601202417
2014,PRY,40377987208.689,6118.31811031962,1.36136057787871,5.02882767456758,5.03000020980835,1216.6489898355333
2015,PRY,36211372702.8085,5413.77602061858,1.32684590099159,3.12900274473924,4.55999994277954,1730.1921609754756
2016,PRY,36089550659.0914,5324.60906777777,1.36538832523667,4.08682280577242,5.25,1302.8725053254188
2017,PRY,38997129473.5558,5678.8699722,1.9094219829803,3.60247741348939,4.6100001335144,1576.379063734198
2018,PRY,40225448340.6322,5782.78454981286,0.818799598783171,3.97561015740691,6.21999979019165,1454.5652920820282
2019,PRY,37906944074.6128,5380.9633218413,1.57289965983517,2.7570972756279,6.59000015258789,1951.6769935568711
2020,PRY,35670301496.1061,5001.07276045191,1.7456027444886,1.7675159235669,7.55000019073486,2829.4357599673526
2000,SLV,11784927700.0,2001.54004887966,1.47137092746017,2.27128756828722,6.96000003814697,881.2358579451139
2001,SLV,12282533600.0,2072.3015906358,2.2707041485317,3.7508205747202,6.96000003814697,552.4928610562471
2002,SLV,12664190300.0,2124.10181983345,3.71125187529755,1.86552503610078,5.73000001907349,1138.608047991215
2003,SLV,13243892200.0,2209.4972451963,1.06615183714648,2.1203909173333,6.26000022888184,1042.0235377989
2004,SLV,13724810900.0,2278.4303299528,2.64681242347754,4.45194392395044,6.05000019073486,511.7832499406307
2005,SLV,14698000000.0,2428.56887928932,3.47761600217717,4.69094870903771,7.21999979019165,517.7137994730945
2006,SLV,15999890000.0,2631.82273894031,1.50707286112592,4.03712359429611,6.57000017166138,651.9054166829835
2007,SLV,17011750000.0,2786.15777431659,9.11434743633077,4.57808572377153,6.40999984741211,608.5857588575888
2008,SLV,17986890000.0,2933.3942401921,5.0206011155903,6.70792293515938,5.88000011444092,437.30291306967774
2009,SLV,17601620000.0,2858.48334388385,2.09486399547314,1.05595029731201,7.32999992370605,2707.024517309484
2010,SLV,18447920000.0,2983.2288061357,-0.613406192808094,1.17933576873676,4.8899998664856,2529.583927850481
2011,SLV,20283780000.0,3266.01097774165,0.603930846788838,5.12892376681616,4.30000019073486,636.7829053870038
2012,SLV,21386150000.0,3428.40933246681,2.01123945886672,1.72973481581381,3.83999991416931,1982.043317347349
2013,SLV,21990960000.0,3509.52653622458,1.11490857279595,0.7576691845229,3.69000005722046,4632.003792571436
2014,SLV,22593470000.0,3589.04288461991,2.2408951362935,1.1413446753823,4.15000009536743,3144.5740818107724
2015,SLV,23438240000.0,3705.57970353453,2.10997804482034,-0.731384487387986,4.0,-5066.527616368199
2016,SLV,24191430000.0,3805.99568574434,1.98198031581358,0.604049086996682,4.42000007629395,6300.805294926711
2017,SLV,24979190000.0,3910.25440332717,2.01688451540263,1.01235403315573,4.3899998664856,3862.536499348996
2018,SLV,26020850000.0,4052.62477533742,1.58620478716365,1.09033000581896,4.01000022888184,3716.8790675383134
2019,SLV,26896660000.0,4167.73093878563,2.58874905939536,0.0753241350024327,4.17000007629395,55330.61798387765
2020,SLV,24638720000.0,3798.63652082321,1.2115112618936,-0.371590212323993,6.2480001449585,-10222.64956083166
2000,SUR,947671969.69697,2012.28165067815,-10.2567136211785,59.4016865450789,12.7379999160767,33.87583362891666
2001,SUR,834279357.798165,1750.57673687227,-3.21235324229173,38.5862878872612,11.9119997024536,45.36784523007205
2002,SUR,1093574468.08511,2267.75398376931,-6.73022295672983,15.5273989185702,11.1529998779297,146.04854268651263
2003,SUR,1274190311.41869,2611.37749349033,-5.97242022781276,23.0022321778219,10.3070001602173,113.52713394520669
2004,SUR,1484092538.40527,3006.18323287406,-2.51332035804726,9.98632511974879,9.48999977111816,301.02997817776657
2005,SUR,1793388732.29125,3590.64818332412,1.56129005919575,9.89800489561464,9.38300037384033,362.76484212641424
2006,SUR,2626380435.17877,5197.74790651499,-6.22149014709964,11.2813043273975,9.19200038909912,460.7399779023661
2007,SUR,2936612021.85792,5744.75972670722,-8.40083736509118,6.42627934470528,9.0319995880127,893.9480247525224
2008,SUR,3532969034.60838,6831.98362206284,-6.54973190348526,14.6671427437911,8.875,465.8019453008295
2009,SUR,3875409836.06557,7408.36078641818,-2.41006768189509,-0.133636646714849,8.72000026702881,-55436.59593783418
2010,SUR,4368398047.64333,8255.87487222955,-5.85340431918619,6.94108221639997,7.15000009536743,1189.4218530826602
2011,SUR,4422276621.78703,8263.20380320348,3.28538383339053,17.7117796414557,7.53999996185303,466.5371843190085
2012,SUR,4980000000.0,9200.97478600343,3.40245351551793,5.00686319367281,8.10000038146973,1837.6724967502075
2013,SUR,5145757575.75758,9402.1644191114,3.62949532348678,1.9234360410831,6.59999990463257,4888.212666440926
2014,SUR,5240606060.60606,9471.92200052426,-1.13866864622319,3.38341272749479,6.94000005722046,2799.517163115255
2015,SUR,5126291450.81511,9168.23715664009,3.58282111853699,6.89390359168242,7.21999979019165,1329.9050435955735
2016,SUR,3317438910.83068,5872.78942866166,6.98330404510016,55.4123879763194,7.92000007629395,105.9833304995159
2017,SUR,3591623596.03082,6295.56056173578,2.6749895186018,21.9969430173304,7.90399980545044,286.20161250478264
2018,SUR,3996247906.19765,6938.08698147294,3.27709314838352,,7.92600011825562,
2019,SUR,3984483762.37123,6853.69341077988,2.11220245444433,,8.03999996185303,
2020,SUR,2884248048.49068,4916.60566637918,0.0360544477456932,34.8929491585684,9.77799987792969,140.90542029096
2000,SXM,,,,,,
2001,SXM,,,,,,
2002,SXM,,,,,,
2003,SXM,,,,,,
2004,SXM,,,,,,
2005,SXM,,,,,,
2006,SXM,,,,0.300601202404787,,
2007,SXM,,,,4.43245754245759,,
2008,SXM,,,,-0.417929020080811,,
2009,SXM,,,,5.957636887608,,
2010,SXM,,,,1.33857621672885,,
2011,SXM,936089385.47486,27997.2898302635,-5.17904034375746,4.58475435650402,,6106.606298447813
2012,SXM,985865921.787709,28460.3326151186,1.37020456734856,4.01518421081602,,7088.176063865948
