year,country_code,co2_emissions_kt,co2_emissions_per_capita_tons,renewable_energy_pct,forest_area_pct,green_transition_score,co2_intensity_per_million_gdp
2004,COM,150.0,0.2511595197829981,42.5595016479492,21.4551316496507,42.55950164784846,0.2367027685899301
2005,COM,140.0,0.228898426323319,45.152099609375,21.2197743148845,45.15209960927832,0.2141179846766116
2006,COM,150.0,0.2394532802704864,41.6352005004883,20.9844169801182,41.63520050039889,0.2147668448689792
2007,COM,120.0,0.187025422989165,55.8025016784668,20.749059645352,55.80250167838264,0.1508157001964099
2008,COM,120.0,0.1825853167931323,54.8092994689941,20.5137023105857,54.80929946892226,0.1310531264692054
2009,COM,130.0,0.1930929177973742,49.0750007629395,20.2783449758195,49.07500076286903,0.1435922895293926
2010,COM,160.0,0.2319862664130283,46.6180000305176,20.0429876410532,46.618000030435454,0.176215582866148
2011,COM,150.0,0.2122907874289887,50.1734008789063,19.8076303062869,50.17340087883274,0.1466152142169716
2012,COM,150.0,0.207220959709338,67.6429977416992,19.5722729715207,67.64299774159932,0.1476605593032097
2013,COM,180.0,0.2427475789300495,62.326301574707,19.3369156367544,62.3263015746065,0.1612579321219803
2014,COM,160.0,0.2106954265923965,65.8304977416992,19.1015583019882,65.83049774160759,0.1391803398063953
2015,COM,180.0,0.2315306102761002,64.1656036376953,18.8662009672219,64.16560363757574,0.1863297054250535
2016,COM,200.0,0.2513835522255614,60.4995994567871,18.6297689414293,60.49959945666764,0.1974654288817959
2017,COM,250.0,0.3071668161545171,56.4244003295898,18.3933369156368,56.42440032945888,0.2320315546964412
2018,COM,260.0,0.3123791032797402,55.0059013366699,18.1622783449758,55.00590133654959,0.2187083869274174
2019,COM,,,,17.9258463191832,,
2020,COM,,,,17.6894142933906,,
2000,CPV,220.0,0.5138050063291435,38.5195999145508,9.8560794044665,38.519599914393645,0.4079912295394319
2001,CPV,250.0,0.5737879876337213,37.176399230957,9.93052109181141,37.17639923079193,0.4440305027931428
2002,CPV,280.0,0.6321183867435743,36.7927017211914,10.0049627791563,36.7927017210255,0.4509040673191969
2003,CPV,310.0,0.689003722842696,34.089599609375,10.0794044665012,34.08959960924517,0.3808523038815432
2004,CPV,340.0,0.74460326880835,32.1259994506836,10.1538461538462,32.12599945056543,0.3678385788003832
2005,CPV,440.0,0.9502541929966266,24.4512996673584,10.2282878411911,24.45129966724771,0.4526855677579174
2006,CPV,500.0,1.0657095174254163,22.5828990936279,10.302729528536,22.582899093525985,0.4513079096857402
2007,CPV,460.0,0.9682844735584664,21.8292007446289,10.3771712158809,21.829200744562574,0.3038441603777283
2008,CPV,480.0,0.9982406009408418,23.8111000061035,10.4516129032258,23.811100006039627,0.2682562715614821
2009,CPV,510.0,1.047944487709255,22.0835990905762,10.5260545905707,22.083599090510408,0.2979290110549427
2010,CPV,540.0,1.0961262087836248,21.2208003997803,10.6004962779156,21.220800399711443,0.32445863469673
2011,CPV,570.0,1.1426097206018546,20.7803993225098,10.6749379652605,20.78039932244632,0.3054800640869643
2012,CPV,530.0,1.0490043365443422,24.2597007751465,10.7493796526055,24.25970077507268,0.3042812121462948
